id,primary_use,meter_type,air_temperature,dew_temperature,building_size,year_built,floor_count,sea_level_pressure,timestamp
1,abc,xyz,6,7,100,2001,4,10,01-01-2016 00:00
2,abc,xyz,8,7,100,2001,4,11,02-01-2016 00:00
3,abc,xyz,10,7,100,2001,4,12,03-01-2016 00:00
4,abc,xyz,12,7,100,2001,4,13,04-01-2016 00:00
5,abc,xyz,14,7,100,2001,4,14,05-01-2016 00:00
6,abc,xyz,16,7,100,2001,4,15,06-01-2016 00:00
7,abc,xyz,18,7,100,2001,4,16,07-01-2016 00:00
8,abc,xyz,20,7,100,2001,4,17,08-01-2016 00:00
9,abc,xyz,22,7,100,2001,4,18,09-01-2016 00:00
10,abc,xyz,24,7,100,2001,4,19,10-01-2016 00:00
